,A.2_Expected Annual Damage,A.2_Dike Investment Costs,A.2_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs,RfR 0 Individual Costs,RfR 1 Individual Costs,RfR 2 Individual Costs,RfR 3 Individual Costs,RfR 4 Individual Costs
0,71318310.79340538,0,0.06940352223190212,0.0,0.0,0,0,0,0,0
1,37402040.67210221,0,0.046099047668515775,0.0,0.0,0,0,0,0,0
2,19534187.39710619,0,0.022991775706949553,0.0,0.0,0,0,0,0,0
3,0.0,0,0.0,0.0,0.0,0,0,0,0,0
4,0.0,0,0.0,0.0,0.0,0,0,0,0,0
5,0.0,0,0.0,0.0,0.0,0,0,0,0,0
6,0.0,0,0.0,0.0,0.0,0,0,0,0,0
7,355527964.4528508,0,0.35691719484569584,0.0,0.0,0,0,0,0,0
8,110623583.9408195,0,0.1330879276052302,0.0,0.0,0,0,0,0,0
9,126763771.30455463,0,0.11728323733481866,0.0,0.0,0,0,0,0,0
10,824415065.9389056,0,0.5861133201767101,0.0,0.0,0,0,0,0,0
11,330905710.4352762,0,0.3500500484249187,0.0,0.0,0,0,0,0,0
12,15042521.378087115,0,0.016253934407282955,0.0,0.0,0,0,0,0,0
13,77748586.04985237,0,0.06601813084758085,0.0,0.0,0,0,0,0,0
14,771909098.6259472,0,0.7295794772073265,0.0,0.0,0,0,0,0,0
15,203115914.2829985,0,0.17372284219552211,0.0,0.0,0,0,0,0,0
16,329402567.8309543,0,0.314838553947771,0.0,0.0,0,0,0,0,0
17,24137828.527840603,0,0.02303836927787245,0.0,0.0,0,0,0,0,0
18,44805063.673448876,0,0.049455507852803414,0.0,0.0,0,0,0,0,0
19,0.0,0,0.0,0.0,0.0,0,0,0,0,0
20,527606138.20640755,0,0.5837689086831825,0.0,0.0,0,0,0,0,0
21,0.0,0,0.0,0.0,0.0,0,0,0,0,0
22,79004167.37457147,0,0.07355741118195527,0.0,0.0,0,0,0,0,0
23,66337649.36780975,0,0.06552379955334808,0.0,0.0,0,0,0,0,0
24,969497263.595948,0,0.762973901845649,0.0,0.0,0,0,0,0,0
25,4047659.477922824,0,0.003860185126301046,0.0,0.0,0,0,0,0,0
26,0.0,0,0.0,0.0,0.0,0,0,0,0,0
27,0.0,0,0.0,0.0,0.0,0,0,0,0,0
28,199607366.98333377,0,0.19673670377386263,0.0,0.0,0,0,0,0,0
29,22687640.792517547,0,0.02346131780097471,0.0,0.0,0,0,0,0,0
30,0.0,0,0.0,0.0,0.0,0,0,0,0,0
31,201110929.37849414,0,0.24856037819285637,0.0,0.0,0,0,0,0,0
32,0.0,0,0.0,0.0,0.0,0,0,0,0,0
33,1114700559.421416,0,0.7733917684401241,0.0,0.0,0,0,0,0,0
34,69201101.4957612,0,0.07303818183101532,0.0,0.0,0,0,0,0,0
35,248547.276028226,0,0.0002945185854277022,0.0,0.0,0,0,0,0,0
36,0.0,0,0.0,0.0,0.0,0,0,0,0,0
37,4384794.500234947,0,0.005862377480131622,0.0,0.0,0,0,0,0,0
38,4325527.676668988,0,0.0037670438370270695,0.0,0.0,0,0,0,0,0
39,156336132.17355126,0,0.1742404467168431,0.0,0.0,0,0,0,0,0
40,0.0,0,0.0,0.0,0.0,0,0,0,0,0
41,0.0,0,0.0,0.0,0.0,0,0,0,0,0
42,679523078.5447943,0,0.5489080629018392,0.0,0.0,0,0,0,0,0
43,0.0,0,0.0,0.0,0.0,0,0,0,0,0
44,193586589.518691,0,0.1946879111876428,0.0,0.0,0,0,0,0,0
45,0.0,0,0.0,0.0,0.0,0,0,0,0,0
46,521653802.8541758,0,0.39983385136235705,0.0,0.0,0,0,0,0,0
47,56320167.727420285,0,0.045421806190122815,0.0,0.0,0,0,0,0,0
48,9226726.44589812,0,0.007373534501463471,0.0,0.0,0,0,0,0,0
49,0.0,0,0.0,0.0,0.0,0,0,0,0,0
50,37477578.242155306,0,0.034567402774680525,0.0,0.0,0,0,0,0,0
51,0.0,0,0.0,0.0,0.0,0,0,0,0,0
52,6163298.532134991,0,0.007093617391905304,0.0,0.0,0,0,0,0,0
53,0.0,0,0.0,0.0,0.0,0,0,0,0,0
54,0.0,0,0.0,0.0,0.0,0,0,0,0,0
55,0.0,0,0.0,0.0,0.0,0,0,0,0,0
56,0.0,0,0.0,0.0,0.0,0,0,0,0,0
57,82468301.7123257,0,0.07289070239070064,0.0,0.0,0,0,0,0,0
58,127937542.16778809,0,0.17270006532874665,0.0,0.0,0,0,0,0,0
59,235791606.61880213,0,0.2088122909457764,0.0,0.0,0,0,0,0,0
60,1791804.416116114,0,0.001981808518657799,0.0,0.0,0,0,0,0,0
61,239688524.6196667,0,0.2575895409081536,0.0,0.0,0,0,0,0,0
62,109993094.0202948,0,0.13185945690652123,0.0,0.0,0,0,0,0,0
63,12278822.742570285,0,0.011540072837912228,0.0,0.0,0,0,0,0,0
64,0.0,0,0.0,0.0,0.0,0,0,0,0,0
65,147511769.47964442,0,0.13275945755310675,0.0,0.0,0,0,0,0,0
66,30918961.37161964,0,0.028724037574798113,0.0,0.0,0,0,0,0,0
67,636421974.897531,0,0.5792246155443022,0.0,0.0,0,0,0,0,0
68,219504297.75556466,0,0.2570860455512583,0.0,0.0,0,0,0,0,0
69,30260667.464333266,0,0.027708674896964974,0.0,0.0,0,0,0,0,0
70,284316910.47262764,0,0.3304189861780875,0.0,0.0,0,0,0,0,0
71,7191936.79039672,0,0.006943763260452419,0.0,0.0,0,0,0,0,0
72,328227610.0573203,0,0.34685416966799393,0.0,0.0,0,0,0,0,0
73,14264637.219356569,0,0.014988434206989483,0.0,0.0,0,0,0,0,0
74,0.0,0,0.0,0.0,0.0,0,0,0,0,0
75,95330458.07207502,0,0.1173198565892384,0.0,0.0,0,0,0,0,0
76,10363694.673235942,0,0.010573944311664297,0.0,0.0,0,0,0,0,0
77,14614459.499872565,0,0.012346027232473824,0.0,0.0,0,0,0,0,0
78,0.0,0,0.0,0.0,0.0,0,0,0,0,0
79,0.0,0,0.0,0.0,0.0,0,0,0,0,0
80,112570993.14212666,0,0.11964913094094996,0.0,0.0,0,0,0,0,0
